video,seconds,subset
c198bd2d403a0f29dca2bad6dd498b32.mp4,191.6,validation
d95c724f5386b8d2ab657f27dd242aa7.mp4,185.6,training
6a0f0608dae348aa159d455fc80047f4.mp4,232.13,training
5e5022168c010e6b58508dad2d25656c.mp4,208.07,validation
cfdb5e0b1cf138b345c5a3754022d7ea.mp4,233.67000000000002,training
58c8a3d11859e36ccb14c7b9146f8cdf.mp4,167.13,training
74ec97db027ab892408ddb3a95649d56.mp4,214.13,validation
2df28c12aafc3b706e56faadbc0c4c86.mp4,213.0,training
d94b0cbcde770bf40740b29734bab815.mp4,182.27,training
5af3b796012ea816e07473d0dd1dec37.mp4,181.13,validation
e150cdd544bc96b2d54a7ac9dd38d004.mp4,168.6,training
d1f1743b349e4ed0c38a01ce66419645.mp4,194.47,training
288685b0599ed819289503c26b8f5354.mp4,181.6,validation
8baf6643355609c98644320ff4840fa5.mp4,207.13,training
0c6a7d453542fccd14bfd54b9533d4d0.mp4,180.6,training
99eb4c673ec7fb610eee0913f23f2c93.mp4,195.67,validation
38a1e87b6cd4b97df0e7a40291098d3f.mp4,200.13,training
70823088c3423f53ccda4000f174b4b3.mp4,191.6,training
bca8d75a2bfd03a3eec759810af70c45.mp4,210.13,validation
61795dc4ffa7248cd43fd77e49cff577.mp4,167.13,training
f8fca5e85bac3aa901d59d18b96d7032.mp4,213.67000000000002,training
b9657906cc4159368781cce31b0ea1a3.mp4,245.07,validation
1e76e6f99cdec03865278aa34c0709b2.mp4,217.6,training
7ebc555785b21abf7d036058c057f952.mp4,189.13,training
5461a0731dc8386941578b8c885161ed.mp4,185.6,validation
344c3fda9929f2575ba5fb006db1138f.mp4,222.13,training
3077d2a753a58ba2448f9d491a6dda8a.mp4,214.6,training
51a839e41e30b939434ddf6105e9476a.mp4,176.13,validation
5c19598f610817f7bea8677e0aa5bae4.mp4,214.53,training
2a82a035dfdea22bb0a3ee63c5d7dad4.mp4,178.0,training
07ec5ab13e9e5c46d01af9c05a2ca011.mp4,182.67,validation
0fd3c5c806a1b130af0a605d097394f3.mp4,195.73,training
9986bd7c23db8f8bab35400a61b729b3.mp4,229.53,training
6fccd99c9edc9030a6391f945448fa9b.mp4,173.13,validation
03b82df64e0696f33d2fa6bbf7460893.mp4,206.13,training
32644740a6d7616d8a0cb2d3a4198a14.mp4,179.2,training
766cc9d79dfd2ca3097490cbfb657951.mp4,159.13,validation
f7c0de9d1b2dd8c987b99c6d2a493995.mp4,214.13,training
8fd66cb52d6f84e5a8ebbd54c5748e85.mp4,208.67000000000002,training
8a095ba1e84e6bccd1cb9d2e44aa0b1e.mp4,168.32999999999998,validation
d5851917b78666264bfa2218ac5f90ff.mp4,236.93,training
473ffd766648727c8e93dc77462cef66.mp4,165.32999999999998,training
74b5b68899f6d29cdfdc936df4d11293.mp4,196.73,validation
0644013310312d7fc8066675b5650cfd.mp4,201.6,training
3639c330f5ec3036cc89a77f2f097281.mp4,200.13,training
2a21daa75e32ba18262d71732bb72c1f.mp4,149.93,validation
6263d84209473f272e1b02a56ecf880e.mp4,214.6,training
78fec95be5535a05b246b27fdbde750d.mp4,209.07,training
b0a3c095fa6bec85918a37c0c6fa7ec7.mp4,180.6,validation
ed6213a8368de9e592fc451826f8a7c9.mp4,207.13,training
fcdef8306ae6ff6b8f832cdc34d56ab5.mp4,176.13,training
75cf425ef9e26e4beac875ad593719e9.mp4,217.32999999999998,validation
d62f6741bc1a7565fa09c44a359c8e02.mp4,215.47,training
caa0e851aad86794a13a26d2d54737ad.mp4,190.0,training
3c011cdb934cb945dedeaeb62d46ed42.mp4,163.6,validation
19f5157d26bb845737c40ecfc353af42.mp4,206.13,training
72a7dafb1275e2d607c27b0427041d7b.mp4,183.6,training
bb4a8ad035410f6d2fb697fae57b803b.mp4,222.13,validation
42527f26740dea72abc254644dc68450.mp4,229.6,training
1e9106b363e4e7c710deb7e99235b8c0.mp4,163.6,training
060be3406d02745af302c16f59714943.mp4,159.13,validation
54d689ab9b1995d87bf2e9b6265b36eb.mp4,194.6,training
7ed56fabdce04a95685a52506adebe87.mp4,189.6,training
f9b403ed8df308958425be765140b532.mp4,226.6,validation
c424da62c73e47c0c4be3e6a2b06af6e.mp4,171.07,training
869ae5ad48663f6d95732aa34bcd681f.mp4,198.13,training
82a863545e50f03c1e2288d3bfb8c226.mp4,205.13,validation
4ff670bc67499f0f2dbabdb3ecd3dec9.mp4,207.6,training
6d79cf4434870724879764307fafcf6c.mp4,219.6,training
84ce5a603aef4dc329c10595ff1b7504.mp4,228.13,validation
b0e4d8fbea3bab89042477e908c10614.mp4,163.6,training
a5abb206b528b15c530dbe3c7295af8a.mp4,204.13,training
4198961a32124e45459a25b6f44992fd.mp4,235.8,validation
8d1cb8b20c84f5d2c8af2809cbf6241c.mp4,191.13,training
4901264f4a4f23a44ae75aff4309082c.mp4,174.6,training
c842021de220a8561287a8aca452cfaf.mp4,175.13,validation
4ca45c6d2ca1376a4017089e875129c6.mp4,218.13,training
62775700ec8d94b6e9223369bfba2ed6.mp4,189.6,training
2efb6da55c512f95470bce07d332cfda.mp4,183.6,validation
16b1ee23fceb410766b21c0a80b4e842.mp4,227.4,training
017fe8a8e6ad8982817fa6d6badd6a58.mp4,210.07,training
3cfbc2379f8450599e483f7fb4abf4e7.mp4,196.13,validation
0832f5d699b2503a482f0513b55af4db.mp4,219.6,training
887ce0b7d8fdcb2c7858533fc58fd577.mp4,172.6,training
ee963db2742c8652bb3c3e6caa7c1ba0.mp4,174.6,validation
14b77ddafc3ebdd9f120b05cd4ac0926.mp4,171.07,training
40b2fbefe9948b70155bd9752644f4e9.mp4,224.6,training
aefc5ac8f41bd08da65414b24836ff41.mp4,179.13,validation
f50b0cfc975d05cb99fda2250b870244.mp4,191.13,training
b0cf36b236e193dbdc071dceffa3f8ec.mp4,204.13,training
b73be1c4fa36d4f2a57e95c1720bc356.mp4,227.6,validation
8b3aefcb50d2302c440eed6b5bc9f715.mp4,190.6,training
aa662c6067b6ccedd30d5207eaef3464.mp4,228.13,training
aec4a6f1ad01c548a4ce0eda548587a9.mp4,189.6,validation
a409749633fdf038b624f7270a763e40.mp4,253.33,training
0ba2977b0c931dcb9ff4236eb55be6d4.mp4,226.6,training
65700442cf6c1f858b8b152472c0f157.mp4,188.6,validation
8ed41d11387053f0c5836bc1151493c8.mp4,218.13,training
d702f1b3414d0244094f01f39a7c0e82.mp4,211.13,training
fd3b9eda30718859381c1f514d52c7e3.mp4,217.6,validation
09bf4e00a5cadc6edce500b38db3bacb.mp4,210.07,training
b55c175f322ff7e8507fe135868f13ff.mp4,229.6,training
19c251a0abf03969f98cacff0bb5e7d7.mp4,196.13,validation
1df287cc0d8265d94a257fb080db7a2a.mp4,194.13,training
e2087f8191075c20e509917cee8b0465.mp4,185.53,training
542449d9b569ec5df40f8738544fca9d.mp4,172.6,validation
150ddf889c893e111d2d864e06d8ae72.mp4,160.13,training
7506046c94c65457d9ec2ad44e197c16.mp4,199.4,training
33ad94edb5038d48a27c0a0004a056e1.mp4,211.13,validation
9e7e09936a0264866f3da761c2341a14.mp4,203.13,training
c41fb98bbaa9c4d360ce9abd8697ee8a.mp4,179.13,training
af7fae927e06fd4a841f23568e0143f0.mp4,172.13,validation
e98111576afe831a5819f15e1fff8cf4.mp4,222.53,training
0064c49626e7785d7c73b9cd1e48de70.mp4,217.6,training
f2f5d4815a344efec53aa39e229a9f42.mp4,179.93,validation
a44fb0ac76f8718c7d547971898bdf04.mp4,214.6,training
069db794f0a12c9ff99bb9ea82067f69.mp4,210.07,training
3e028047369cf6d1210aad37ccbed960.mp4,189.6,validation
9994c6356324cc99f13b7a95d387a915.mp4,202.6,training
c5e250b8a7f3a469eac3746aa9c28baf.mp4,156.87,training
635cc3a1163b12d5f38e5f669322eb1b.mp4,190.6,validation
6bfe0bd952b9e89a68955abf7c6d312e.mp4,164.4,training
39d0984060ea4da5e3141d2d75faed75.mp4,172.6,training
775a6506f09e8ede0414efffe1b8000d.mp4,188.6,validation
640cc2c9a21ddfd7511347b3b21cd246.mp4,169.67000000000002,training
93d2a4d0e9e540d4af2fd7e8a82d04e1.mp4,222.13,training
b9c225657502f321b331cab1b82ffa9c.mp4,160.13,validation
3fffb26df5b84ce4e1fa858f75645db6.mp4,211.13,training
f290de7aadb437cc04bb7b1822156602.mp4,227.6,training
71bd730e2664108db6c91e39f0b06b41.mp4,211.13,validation
19763ed03fa68bb8fb867891893fdf85.mp4,185.2,training
a5dc27fe647910faedd7835b380b7b52.mp4,172.13,training
44f097d5f3386cb59728e9c190b203bc.mp4,214.6,validation
bbcc4439d96ee73352f958c7184758f7.mp4,216.27,training
1ed0fd7f1f03d843929ab7793321c0e5.mp4,210.07,training
92d4549d9b2546085928b820f3df21f7.mp4,172.6,validation
7723a2b6f53794b380ab8fc2a89652fc.mp4,192.6,training
96bc2fbc7b35a78506d5113e398a67bc.mp4,206.13,training
ccf3252d903bb1aee6d9a2026f30938a.mp4,152.32999999999998,validation
5d605091104cd3bcdb9c2f39f3389f14.mp4,216.6,training
dd772211c8d1a039e1ecdf02a478c8ef.mp4,218.13,training
698b0ed1a895535afdd24545a9ae7b92.mp4,221.07,validation
949114f7f23fd87c69e6c70b7e487a55.mp4,199.67000000000002,training
0d902e253d667025c917331e737e6647.mp4,161.87,training
9089c7e961043ae011653418bb2eb5d9.mp4,209.6,validation
ebcb4bf7c290b1f597eb30ed96b52a26.mp4,190.13,training
a5014451047a609d624134a0034e2a97.mp4,201.13,training
96ad8cb7686605a640af33b00451f733.mp4,207.13,validation
101e3e7647720530a89ec4c2c6fc99e2.mp4,202.6,training
51886a46784c0c250514113ce5b8963d.mp4,204.6,training
361db3f7e6a740b36604ddbac8e83022.mp4,206.13,validation
5d8c3cb8d16c92f1f9fdf26166b128d4.mp4,241.67,training
cf92bf757ff6a09e1d5da6da3959b7f9.mp4,203.13,training
6a5e82c37624fbc18bcd545a4d0f123c.mp4,167.6,validation
f7cdfee6cc8e5ae8e186dc37282b4666.mp4,242.87,training
15d1cd0a53b2b6fe3c4398c891cf484e.mp4,195.07,training
ff8025eaabff612616397a87d7034940.mp4,182.07,validation
128fdf76b7583efc40a0a90a1e8b3a63.mp4,177.6,training
6954279fb7ed4fd63a6ddc2246402781.mp4,224.13,training
e29538e5ea040ba54655d07755d149c7.mp4,208.07,validation
af62f2661d7e2554fcb3463cd83c3655.mp4,209.6,training
47ab5762400d79341d7f92448bc0f1fc.mp4,207.13,training
6a8ef20c578370a7c1e49cd3f627337a.mp4,199.67000000000002,validation
9a4107f5f3a64200b4ac5441eb8cf195.mp4,167.6,training
6b9f9a4c5e2b39efd3e8b8486d24cb82.mp4,172.13,training
2c234028e9efae2f1f0e952a12dbc061.mp4,205.13,validation
b8c0cb898b106c3d743a97ab0f0d8021.mp4,190.13,training
57cc95e1847cb693d1d7312acfab42a5.mp4,222.93,training
9248946ede8e0a0153aae600dba9fa03.mp4,168.47,validation
d00499528485419b561fb3e21901374a.mp4,205.6,training
36a478d598d887de7610d61a918046d6.mp4,175.73,training
1889bacedbef804c4591668a8260e849.mp4,217.6,validation
5a189c065e8b7a71aa72c66ab860de32.mp4,226.07,training
11509f2922e9f521b6e1ab8cf4dad70a.mp4,196.13,training
26a174b3f62936403a28e3b53b2c33f0.mp4,222.13,validation
1bd8a06bd92764a19acc3613aa63e3ca.mp4,177.6,training
6fe32a7add8dd421cdc72f1cdfbc8f54.mp4,182.07,training
32b701c250c11962206c79db7767ff3e.mp4,174.6,validation
f3bae5879cf4d640702e9e4384ec366d.mp4,194.13,training
c8f25e0fb4ecdd0934104cb780c73fb1.mp4,163.73,training
7d77c306798e52f433ffd531cc949636.mp4,231.13,validation
4565443b18eedf9672d252358902fa42.mp4,184.07,training
e724fac4a82640d12dd1cf32e6cae391.mp4,184.8,training
452d4b3eb3815e8449ddbc24c5c17ce5.mp4,208.07,validation
d50dd3d40e8f04e2ef9ffaa8c8270be2.mp4,208.07,training
5aac23ede35c517145629493172bd2fd.mp4,157.6,training
e11489908754307aee42d01238677bc2.mp4,204.6,validation
8a4c8a0f3ae829153ede6c96ec36ec0f.mp4,215.13,training
79a8da4981b9547baa9182c2ac031d2c.mp4,192.13,training
ca293f524c3cd8ceff29479fc8864ff1.mp4,205.6,validation
d61409205358d217f7abae63606ded9c.mp4,166.13,training
ea0a6f9b560a06ccb90bed157e0cd125.mp4,182.07,training
5a6d4fdf5c86e4c4f5af350935dec033.mp4,166.13,validation
b1c5a2c88f823a83623922e2733db063.mp4,211.13,training
6e054ed1a120fc951e40048405a88394.mp4,196.13,training
1bc5d523d17b4872da15d24a4ba3fcdb.mp4,211.13,validation
6c2f316e217d8ebb73f221d3c6521d7f.mp4,155.47,training
a94696f932608cab36c7caa2470eddfd.mp4,182.07,training
a5d33058feac909ee0625fa44a637faa.mp4,231.13,validation
bb8652ca5bd0b4dccf3ea85776582e01.mp4,167.6,training
776bb4959a2e66c47e9da2951a84b7bc.mp4,208.67000000000002,training
3fc9987bc6a0f745e3c797205fbbd931.mp4,157.6,validation
91d5053fc22938ec7c2d9b642b2a4512.mp4,205.13,training
75f88d1751e38ab68e2ef9933b84a76b.mp4,224.13,training
2b58f4c31a539e4d85cc8e92146473da.mp4,220.4,validation
382db498b9a09e00b1615a4a7fd84876.mp4,201.2,training
488cbd037ce5cc5fdd22797f7bc12d71.mp4,194.13,training
1e06f32eee81a610cd39e9a056ab83df.mp4,191.33,validation
725a2dfc048b444dbcd607aafff123d8.mp4,215.13,training
f016db9404687f221d765cdcceae19c8.mp4,226.6,training
8c53d01db2177357b0d55975354c2e99.mp4,220.32999999999998,validation
6650e8e75420011e17eb23ec8af2ae9b.mp4,196.13,training
e9c7415f18c02a33c3b38a1ea71377ab.mp4,196.13,training
e2694e62908106b3bb267e22e749a72d.mp4,200.13,validation
d2d696f75364fc290422d97ec5952a24.mp4,221.67000000000002,training
cacbf452cbe63436d6cd075d33ff2766.mp4,208.07,training
9748c603e98f55b11445d97db2a95254.mp4,163.87,validation
4bdea0165fe532aa3b9a910ee978ddf8.mp4,166.13,training
a5d72b97edcc612c0a84283692c89595.mp4,207.27,training
bcbc02a889511d55a1ecb4bbce31b663.mp4,211.6,validation
a66655316a5ee5587efcfa3cdf11976a.mp4,179.6,training
b7f852f7edbaa147412ee573aa06a303.mp4,182.47,training
104601618984020f22197677cdc9112d.mp4,165.6,validation
91b6761d6c79b7dc4c24a8631ed16d91.mp4,166.13,training
1a9751a9f94c63a26165210f4e1f966f.mp4,200.13,training
e5c3e45394c8dd04ae8a6b047b4a34a0.mp4,167.6,validation
10eb7ee4dfa12416817004693b6d1849.mp4,211.6,training
f604ab45dc557fd405f46d982e81ff9b.mp4,141.32999999999998,training
85b15c3e17fcfab6ca261787c32f642a.mp4,174.27,validation
e3aff6ba7d52e0f3ee9f6b97cc018873.mp4,186.13,training
f37774720537ddc7ac5cf0276b5c2851.mp4,169.67000000000002,training
69fc75bba491e8478a66dff4a1aa08a5.mp4,232.13,validation
81c0516e870946ccb6ad4efe818a5f7b.mp4,212.67000000000002,training
8cfb49d141cfbdf50728379a487114b9.mp4,229.6,training
84dfd6d14f993edb62ca6d995b72aac0.mp4,208.67000000000002,validation
debbb3b27a61b68d497d34a856223144.mp4,200.6,training
4139ea9a43a7f3959824f60c1aa8fcbc.mp4,211.6,training
15fc9e68c19e48896a4fea6aa1392bb3.mp4,167.13,validation
f3b72b3d50363705605853de43796ea5.mp4,166.13,training
6df8e19c6ace6903a64ac44dc32d8944.mp4,226.6,training
fe5793537760bc417afed6f6213d7a7c.mp4,167.13,validation
abc94f65486ba56ecc1f62cde1dbc0d9.mp4,231.13,training
5a0d3f79718f8ea19c87640684c55906.mp4,193.0,training
fef65313424480d62990a890d8ea8b3c.mp4,188.93,validation
6f52796ff02c59ee76be10345eee49ab.mp4,189.13,training
5d87f85a1a6f3f3972e4caad61d53029.mp4,231.13,training
6f95db068d10bb1233e73427e779bd21.mp4,205.13,validation
ebe6bbf5d3529668e7b0daae852ebd6a.mp4,194.13,training
35364abcaba8d356ae83976ff6714444.mp4,175.6,training
f4ccc2079b495c6b4cd7403d99df7d67.mp4,203.27,validation
a0768a12250c0a03c79ed86f3651cba9.mp4,169.67000000000002,training
966416bc2015c227075dd2995099bb76.mp4,171.07,training
23371e77b2f5ab3f3f95d95dec4c3786.mp4,167.13,validation
359f4328d8a335ff184af6aa63dda8d3.mp4,221.67000000000002,training
de147ce09268a7369a04a514ef3b592f.mp4,232.13,training
30cf1a99614b1228f7fe060e3049fb9e.mp4,196.2,validation
2bb81a0f507241e65f496a96d235a85f.mp4,169.93,training
08c85a4d1786737ea0e076aacf8d6128.mp4,213.13,training
028ba8a9ed8fb3255c35627cd92384c5.mp4,243.87,validation
fc81798af3e951ea85d4676952e659c4.mp4,167.13,training
939c397a6ce3545cb0122d8740020acd.mp4,231.13,training
872f150d0d89cfe7f1280ca597e1b263.mp4,213.13,validation
838b5fba8be4abf59e21e9715dd967f4.mp4,211.6,training
ac23127e406a09c48e4a446a3b8542b2.mp4,189.13,training
39a1a4fac3b1a23e4f777f33e39625ae.mp4,200.6,validation
75c7a1ed0f7da29d0c7a51ae1e9aff75.mp4,219.87,training
23528be84d9350fd6592508e39c2d90c.mp4,185.93,training
98fbbbf029dcaa173aa3f337d8eda5c6.mp4,171.07,validation
268ec64c89bc6b04112de986bd2a746c.mp4,229.6,training
b413dc16b370f12578bad538b88c099d.mp4,212.07,training
6ed547111e575fc35d3ff8d143cda4f5.mp4,183.13,validation
516449880f6360766a9870779a92c765.mp4,187.13,training
642ef3b0726b2efaf6d8eac2a83478ef.mp4,219.13,training
f8885e19e06274e892d66b63d443b139.mp4,213.13,validation
33177eabe00949b3905e7bc60c8e8c58.mp4,189.07,training
15761a05d9cab2bb2bd85c957a31e761.mp4,175.6,training
e00fcdd5309d338426e5ba7e1f03d377.mp4,160.67000000000002,validation
0b23c77996c1533a6174f1b2e436bdba.mp4,176.6,training
025417746cc4202908eb84b07e596aa8.mp4,147.6,training
a5568f8a174d5b4d98963f201e61125e.mp4,231.13,validation
87b5dcee90e27866da70cac84a61aecd.mp4,219.13,training
78fb33757eeac43ad58d0a38926c0f05.mp4,198.6,training
37c68a812ea47efbb3ee51f161c606f2.mp4,167.13,validation
c7c949b20e381bfb2e794322788ade3f.mp4,205.13,training
67605903875effa7f32ccc7415a976fb.mp4,214.87,training
97f1dc54f0285721be7bff34b737ad7c.mp4,210.07,validation
3f3981cc9f50e130b5a568f0f24ca3cb.mp4,180.07,training
35eaad02c4c7b5f6a715856071a77a01.mp4,168.67000000000002,training
e8e43e1478c9ece80b194d87b8c3223c.mp4,213.87,validation
004318894f036dbafb61543e38e44788.mp4,160.67000000000002,training
5476fdc6f8d81ef2d81b448d0565148d.mp4,159.6,training
714f956e5b91a44325565e724e36db4e.mp4,172.6,validation
7d7cc757fc2701260de461ba880accde.mp4,231.8,training
d4e4dbf079a54b4d42ef6003c0fcba76.mp4,208.67000000000002,training
409456157a002888dffa190a00956b3e.mp4,232.13,validation
277240d25a166b1f547b5b42c564eae5.mp4,219.13,training
6894814caf634210894a3c6ddc95f5f8.mp4,169.2,training
55b60807d8787aab4190d8cccb29495c.mp4,228.13,validation
08192ba4c12be4e1e28c14da3129b4e9.mp4,229.6,training
650972320a727aa8c8216b78b979c86d.mp4,167.6,training
5428bc6a24ab013ce58292564cc5bd9a.mp4,191.13,validation
22de2f3dfc777801d9349c4a4ad721f8.mp4,232.13,training
07a5a48de2145b165c0a2daa0d6f7b7a.mp4,157.6,training
d798e9f985897fb3465f65f62464ff46.mp4,230.2,validation
9f7634477602bbc1fddee6f72fb26f83.mp4,222.6,training
aede67600567e9ce40f71ad58548ba4c.mp4,230.13,training
c1b32c87c7e638ce90253737914fcf9c.mp4,205.13,validation
ddcc0ecb3efec361467fbf4515fda76f.mp4,152.27,training
f59d400ba643d98b7be4ee946c345d6b.mp4,197.4,training
adc980343fe3b0479f9c733018ce6fd9.mp4,180.6,validation
2690372ccd2b8870d5092d6ebfdf17f2.mp4,226.47,training
88a2fa7ca8d1bae2c311a70b876a6774.mp4,159.6,training
08cddfc3b80b6a6d600b1c4ed969ab7e.mp4,174.53,validation
dd7dd8cd1497fe93e1969071e8edf728.mp4,157.6,training
4d2e8ec2ffcacd67b604678e74a15f3a.mp4,199.13,training
7bede19a0ef456a6a3d364c8171b8922.mp4,210.07,validation
3905500f4997cd853aee95003966b7f3.mp4,181.13,training
9bb5cbc99698ca8a2179a1b63b9a67a8.mp4,183.4,training
0878121453066e2daf79692283d61e20.mp4,232.07,validation
cab2b405abda8602c9cbf46c1b55875d.mp4,172.6,training
bd7b57aa4274d5c6004ebddd940fffa6.mp4,199.0,training
2463aa93a1c285cab0eafac261375985.mp4,191.13,validation
9aaf00192e331a12173bdfb6f1c7a9f6.mp4,208.67000000000002,training
6b95f9c8aa615de50aef6dfa29b2a999.mp4,169.67000000000002,training
6108537e008f30ede793908d2871f2af.mp4,243.2,validation
eda66f609d7a8faf2d20036812c444de.mp4,223.6,training
58bd7854e4b330c033c412b2ab9ed632.mp4,199.13,training
9dbf12440463c8bdcbac3da8e8929889.mp4,230.13,validation
7fadc50f9b8bf68b61079738d7e4ea05.mp4,227.13,training
5338cbd00b6e23cbccb9983b06092b9c.mp4,164.73,training
0ec4669ca5a47ab3e9cbbd9d5744610f.mp4,178.6,validation
2728e92bced126a0436e3fe34f6b4c9e.mp4,232.6,training
e381399f1b4748de05b0dc2568b9a9ba.mp4,160.13,training
352bb9ec934d888ea20a99e2a6d5292a.mp4,180.6,validation
906cc3763360e4bd2c4c5451773a5c9a.mp4,185.6,training
382f3be8868a0e5bb32ee06c4f592805.mp4,195.67,training
